"Rank","Mountain","Elevation","Prominence","Coordinates","Range [Note 4]","Range[Note 5]","Region [Note 6]","Country","First[5] ascent"
"1","Mont Blanc","4808","4695","45°49′57″N 06°51′52″E﻿ / ﻿45.83250°N 6.86444°E﻿ / 45.83250; 6.86444﻿ (1. Mont Blanc (4808 m))","Mont Blanc massif","I/B-07.V-B","U-Savoy/Aosta","FR/IT","1786"
"2","Monte Rosa (Dufourspitze)","4634","2165","45°56′13″N 07°52′01″E﻿ / ﻿45.93694°N 7.86694°E﻿ / 45.93694; 7.86694﻿ (2. Monte Rosa (Dufourspitze) (4634 m))","Monte Rosa Alps","I/B-09.III-A","Valais","CH","1855"
"3","Dom","4545","1046","46°05′38″N 07°51′32″E﻿ / ﻿46.09389°N 7.85889°E﻿ / 46.09389; 7.85889﻿ (3. Dom (4545 m))","Mischabel","I/B-09.V-A","Valais","CH","1858"
"4","Liskamm","4527","376","45°55′20″N 07°50′08″E﻿ / ﻿45.92222°N 7.83556°E﻿ / 45.92222; 7.83556﻿ (4. Liskamm (4527 m))","Monte Rosa Alps","I/B-09.III-A","Valais/Aosta","CH/IT","1861"
"5","Weisshorn","4506","1235","46°06′05″N 07°42′57″E﻿ / ﻿46.10139°N 7.71583°E﻿ / 46.10139; 7.71583﻿ (5. Weisshorn (4506 m))","Weisshorn-Matterhorn","I/B-09.II-D","Valais","CH","1861"
"6","Matterhorn","4478","1042","45°58′35″N 07°39′31″E﻿ / ﻿45.97639°N 7.65861°E﻿ / 45.97639; 7.65861﻿ (6. Matterhorn (4478 m))","Weisshorn-Matterhorn","I/B-09.II-A","Valais/Aosta","CH/IT","1865"
"7","Dent Blanche","4357","915","46°02′03″N 07°36′43″E﻿ / ﻿46.03417°N 7.61194°E﻿ / 46.03417; 7.61194﻿ (7. Dent Blanche (4357 m))","Weisshorn-Matterhorn","I/B-09.II-C","Valais","CH","1862"
"8","Grand Combin","4314","1517","45°56′15″N 07°17′57″E﻿ / ﻿45.93750°N 7.29917°E﻿ / 45.93750; 7.29917﻿ (8. Grand Combin (4314 m))","Grand Combin Alps","I/B-09.I-B","Valais","CH","1859"
"9","Finsteraarhorn","4274","2280","46°32′14″N 08°07′34″E﻿ / ﻿46.53722°N 8.12611°E﻿ / 46.53722; 8.12611﻿ (9. Finsteraarhorn (4274 m))","Bernese Alps","I/B-12.II-A","Bern/Valais","CH","1829"
"10","Zinalrothorn","4221","490","46°03′54″N 07°41′25″E﻿ / ﻿46.06500°N 7.69028°E﻿ / 46.06500; 7.69028﻿ (10. Zinalrothorn (4221 m))","Weisshorn-Matterhorn","I/B-09.II-D","Valais","CH","1864"
